student_id,gender,age,attendance,homework_completion,test_scores,participation,study_hours_per_week,parental_education,internet_access,school_support,extra_classes,travel_time_to_school,health_status,number_of_absences,performance
10074,Female,14,52,65,72,60,12,high_school,yes,no,no,14,4,20,0
10075,Male,15,77,85,75,57,18,high_school,yes,no,no,32,4,4,1
10076,Female,14,85,76,66,58,1,bachelor,yes,no,no,57,4,12,0
10077,Female,17,97,78,62,95,3,high_school,yes,no,yes,10,2,18,1
10078,Female,18,96,74,51,59,18,bachelor,no,no,no,49,5,0,0
10079,Male,14,67,81,96,98,11,high_school,yes,no,no,25,2,16,1
10080,Female,18,82,83,90,84,1,bachelor,yes,yes,no,25,4,16,1
10081,Male,18,80,54,87,52,5,bachelor,yes,no,no,57,5,9,0
10082,Male,15,68,66,70,63,9,master,yes,no,yes,50,1,18,0
10083,Male,18,62,53,50,98,8,high_school,yes,no,no,36,2,7,0
10084,Male,15,83,52,99,61,1,bachelor,no,no,no,58,4,4,1
10085,Female,16,66,97,96,72,15,bachelor,yes,no,yes,41,5,13,1
10086,Male,15,60,100,88,87,2,bachelor,yes,no,no,42,2,1,1
10087,Female,15,79,64,76,100,2,high_school,yes,no,no,56,1,5,0
10088,Female,14,73,64,79,91,19,bachelor,no,no,no,21,5,3,0
10089,Female,15,66,59,66,69,5,bachelor,yes,no,no,38,5,1,0
10090,Female,18,92,92,97,60,19,master,yes,no,yes,51,1,15,1
10091,Male,16,65,57,53,89,4,master,yes,no,no,60,1,2,0
10092,Male,16,76,78,81,99,19,high_school,yes,yes,yes,23,5,4,1
10093,Female,15,77,91,71,70,6,master,yes,yes,no,5,5,8,1
10094,Male,17,75,95,83,98,14,bachelor,yes,no,no,30,5,8,1
10095,Female,15,96,71,96,79,11,high_school,no,yes,no,52,5,16,1
10096,Male,15,85,50,57,98,3,master,yes,yes,yes,56,2,13,0
10097,Female,15,94,75,63,100,7,high_school,yes,no,no,7,3,14,1
10098,Male,17,94,67,87,84,19,bachelor,yes,no,no,19,1,4,1
10099,Female,17,59,88,66,88,12,bachelor,no,no,no,29,1,12,0
10100,Male,17,74,53,59,52,9,master,yes,no,yes,49,2,14,0
10101,Female,17,96,71,83,96,8,high_school,yes,yes,no,44,1,11,1
10102,Male,16,91,90,86,55,20,bachelor,yes,no,yes,30,2,12,1
10103,Female,18,82,71,70,55,6,high_school,yes,yes,no,59,4,10,0
10104,Female,14,52,100,80,89,5,high_school,yes,no,yes,40,2,19,0
10105,Male,17,60,53,64,55,17,master,yes,yes,yes,34,3,1,0
10106,Male,16,57,75,100,94,12,bachelor,yes,no,no,9,2,3,1
10107,Female,16,69,82,69,98,12,bachelor,yes,no,no,51,1,13,0
10108,Male,18,60,85,62,92,3,bachelor,yes,yes,no,37,2,9,0
10109,Female,18,72,59,93,51,13,bachelor,no,yes,no,44,2,19,0
10110,Male,14,86,58,66,58,11,high_school,yes,no,yes,19,3,16,0
10111,Female,18,93,99,63,60,9,master,yes,yes,no,38,4,2,1
10112,Male,16,50,89,71,78,8,high_school,yes,yes,no,15,1,4,0
10113,Female,17,79,84,70,86,5,high_school,yes,no,no,23,3,13,1
10114,Female,15,53,74,94,91,18,bachelor,no,no,no,44,3,5,0
10115,Female,14,72,64,82,74,17,bachelor,no,no,no,37,2,13,0
10116,Female,18,89,89,100,88,19,high_school,yes,no,yes,10,3,6,1
10117,Female,16,57,91,64,96,1,high_school,yes,no,no,56,3,3,0
10118,Male,18,87,82,86,76,1,bachelor,yes,no,no,8,2,9,1
10119,Female,18,59,82,87,62,15,high_school,no,no,yes,40,5,19,0
10120,Male,18,57,54,78,96,4,bachelor,yes,yes,no,16,5,1,0
10121,Male,16,80,100,100,85,4,bachelor,yes,no,no,30,3,4,1
10122,Male,17,60,59,89,87,6,high_school,yes,yes,no,12,2,13,0
10123,Female,16,61,75,62,89,18,bachelor,yes,no,no,29,1,14,0
10124,Female,17,92,61,93,85,16,high_school,yes,yes,yes,8,5,4,1
10125,Male,15,98,77,80,58,19,high_school,yes,no,no,33,1,10,1
10126,Male,14,95,86,70,75,14,high_school,yes,no,no,40,1,0,1
10127,Female,16,89,64,70,96,9,master,no,yes,no,57,1,9,1
10128,Female,17,75,90,84,74,11,high_school,yes,yes,no,42,2,6,1
10129,Female,15,76,83,76,66,11,bachelor,yes,no,no,48,3,18,0
10130,Male,14,56,55,73,82,17,bachelor,yes,no,yes,33,3,17,0
10131,Male,18,98,56,66,69,9,high_school,no,yes,yes,53,4,7,0
10132,Female,14,56,50,81,62,19,high_school,yes,yes,yes,60,3,16,0
10133,Female,18,78,79,65,89,19,high_school,yes,no,no,22,1,13,0
10134,Male,16,96,99,51,77,17,bachelor,yes,no,yes,54,3,3,1
10135,Female,14,57,78,88,52,10,high_school,yes,no,no,14,3,13,0
10136,Male,15,82,72,77,81,18,bachelor,yes,yes,yes,11,5,7,1
10137,Male,14,52,73,72,57,15,high_school,yes,no,no,41,3,18,0
10138,Male,14,77,96,57,83,3,high_school,yes,no,no,36,3,15,0
10139,Male,17,86,70,63,80,16,master,yes,no,no,22,2,6,0
10140,Male,14,72,70,68,97,19,bachelor,yes,no,no,40,5,17,0
10141,Male,15,50,96,54,69,11,high_school,yes,yes,no,46,2,2,0
10142,Female,17,69,54,86,87,9,bachelor,yes,yes,no,38,5,11,0
10143,Female,16,71,93,73,66,10,bachelor,yes,yes,yes,34,3,13,0
10144,Female,14,99,100,66,63,9,bachelor,yes,yes,yes,44,2,12,1
10145,Male,14,88,58,71,92,14,master,yes,yes,yes,8,2,12,0
10146,Male,15,72,86,60,55,18,bachelor,yes,no,yes,25,2,3,0
10147,Female,14,87,83,66,86,6,bachelor,yes,yes,no,16,5,9,1
10148,Female,18,76,80,55,76,8,high_school,yes,yes,no,38,4,12,0
10149,Female,14,56,59,94,66,14,high_school,no,no,no,6,4,10,0
10150,Female,14,100,85,100,75,11,high_school,yes,yes,no,44,3,3,1
10151,Male,14,88,89,84,83,15,bachelor,yes,no,yes,28,5,0,1
10152,Female,15,85,96,69,68,3,bachelor,yes,no,yes,56,3,16,1
10153,Female,16,94,92,83,58,2,bachelor,no,no,no,57,1,8,1
10154,Male,14,50,74,92,89,10,high_school,yes,no,no,29,3,2,0
10155,Female,15,86,93,93,100,6,bachelor,yes,yes,no,38,4,18,1
10156,Male,18,93,98,66,59,17,bachelor,yes,no,no,51,4,15,1
10157,Female,16,57,80,70,66,5,bachelor,yes,no,no,58,1,17,0
10158,Male,14,61,64,75,90,13,bachelor,yes,yes,no,30,2,15,0
10159,Male,14,72,75,70,71,7,master,yes,no,no,18,5,6,0
10160,Female,14,100,97,57,99,18,master,yes,yes,no,35,4,6,1
10161,Female,16,67,91,88,66,14,master,yes,no,no,35,3,11,1
10162,Female,17,94,83,52,86,11,bachelor,yes,yes,no,44,2,11,1
10163,Female,14,53,78,71,74,13,high_school,yes,yes,no,22,1,15,0
10164,Female,18,91,93,51,84,10,high_school,yes,no,no,38,3,12,1
10165,Female,18,67,81,81,84,7,master,yes,no,no,50,4,16,0
10166,Male,18,93,65,93,96,10,master,yes,no,no,34,1,6,1
10167,Male,17,54,50,79,98,3,bachelor,yes,yes,no,49,2,3,0
10168,Female,15,86,74,97,50,14,high_school,yes,no,no,19,1,14,1
10169,Female,14,73,53,61,86,5,master,yes,no,no,47,4,5,0
10170,Male,16,62,83,74,56,20,bachelor,yes,no,yes,8,3,7,0
10171,Male,17,78,100,94,95,10,bachelor,yes,yes,no,47,2,8,1
10172,Male,14,52,55,54,54,15,bachelor,yes,no,yes,27,1,8,0
10173,Male,16,69,98,91,84,18,high_school,yes,yes,no,22,1,2,1
10174,Male,16,87,62,96,74,9,high_school,yes,no,no,8,5,1,1
10175,Male,16,90,52,77,78,9,bachelor,yes,yes,no,7,1,1,0
10176,Female,17,91,58,64,89,5,high_school,yes,no,no,15,3,1,0
10177,Male,17,64,87,57,54,16,high_school,no,no,yes,30,2,5,0
10178,Female,18,97,62,77,54,13,bachelor,yes,yes,no,21,2,7,1
10179,Female,18,81,78,100,52,8,high_school,yes,yes,yes,38,3,12,1
10180,Female,18,82,55,73,68,16,high_school,no,yes,yes,44,4,0,0
10181,Male,16,97,90,62,92,13,master,yes,no,no,29,5,9,1
10182,Male,17,76,87,56,54,11,bachelor,yes,no,no,49,2,18,0
10183,Male,15,59,81,92,79,7,bachelor,no,no,no,35,2,3,1
10184,Female,15,63,62,78,61,7,high_school,yes,yes,no,6,5,13,0
10185,Female,16,98,90,66,89,2,bachelor,yes,yes,no,28,5,2,1
10186,Female,16,79,56,59,90,2,bachelor,no,no,yes,32,4,14,0
10187,Female,18,78,71,53,69,4,master,yes,no,no,54,4,16,0
10188,Female,17,71,66,59,50,18,master,yes,no,no,54,5,11,0
10189,Female,17,84,61,56,78,11,master,no,yes,no,37,3,10,0
10190,Male,15,72,75,83,95,2,high_school,yes,yes,no,33,4,16,1
10191,Female,16,62,90,88,64,11,bachelor,no,no,yes,56,2,14,1
10192,Male,17,71,60,76,52,17,bachelor,yes,no,no,48,4,20,0
10193,Male,18,69,55,68,54,3,bachelor,yes,no,no,5,2,5,0
10194,Female,15,84,98,74,73,12,high_school,yes,yes,no,22,4,15,1
10195,Male,16,57,95,74,66,8,high_school,no,yes,no,19,3,13,0
10196,Female,15,56,52,78,93,3,bachelor,yes,no,no,24,1,13,0
10197,Female,14,93,69,85,58,6,bachelor,no,yes,no,52,1,20,1
10198,Male,18,51,73,57,60,13,bachelor,no,no,yes,21,5,17,0
10199,Female,15,95,96,80,87,11,bachelor,no,yes,no,49,1,0,1
10200,Male,17,87,90,57,60,19,master,no,no,yes,28,1,16,0
10201,Male,17,95,81,64,65,20,bachelor,yes,yes,no,37,2,7,1
10202,Male,15,82,51,82,82,9,master,yes,yes,no,17,1,12,0
10203,Male,17,75,71,88,51,6,bachelor,no,yes,no,43,2,13,0
10204,Male,15,99,64,83,91,12,high_school,no,no,no,53,3,2,1
10205,Male,16,55,58,55,58,7,high_school,no,yes,no,35,1,17,0
10206,Male,17,57,57,99,77,20,bachelor,yes,yes,yes,51,3,6,0
10207,Female,16,69,65,53,55,3,bachelor,yes,no,no,45,4,9,0
10208,Male,16,67,61,72,61,13,bachelor,yes,no,no,29,5,18,0
10209,Female,15,68,95,85,94,8,bachelor,no,yes,no,33,5,18,1
10210,Female,17,67,55,67,68,5,bachelor,yes,no,no,36,1,2,0
10211,Male,17,59,100,84,78,15,high_school,yes,yes,no,37,4,16,1
10212,Female,18,80,73,69,86,4,high_school,yes,yes,no,32,4,19,0
10213,Female,17,73,99,98,100,9,high_school,yes,no,no,40,2,20,1
10214,Male,15,85,51,64,83,4,bachelor,no,no,no,10,2,18,0
10215,Female,16,61,52,94,67,8,bachelor,yes,no,no,25,1,2,0
10216,Female,15,57,85,97,79,10,master,yes,no,yes,48,2,4,1
10217,Male,18,87,94,90,96,14,high_school,yes,no,no,60,1,19,1
10218,Male,15,88,55,66,74,2,bachelor,yes,yes,yes,39,5,4,0
10219,Female,14,89,61,85,94,15,master,no,no,no,35,3,9,1
10220,Male,16,63,65,59,78,10,master,yes,yes,no,16,1,0,0
10221,Male,18,69,57,92,61,1,high_school,yes,no,no,58,4,10,0
10222,Female,18,96,86,61,86,17,high_school,yes,yes,no,53,4,14,1
10223,Male,17,69,99,63,51,9,bachelor,yes,no,yes,41,4,0,0
10224,Female,16,55,86,54,82,17,bachelor,yes,yes,yes,55,4,9,0
10225,Male,17,99,73,92,83,18,bachelor,yes,yes,no,33,1,6,1
10226,Male,16,99,72,93,87,20,high_school,yes,yes,no,27,5,19,1
10227,Male,15,91,57,99,70,1,high_school,yes,no,no,59,5,5,1
10228,Male,18,96,71,96,83,1,master,yes,no,yes,59,2,10,1
10229,Male,15,79,99,67,66,8,high_school,yes,no,no,51,1,11,1
10230,Female,16,57,74,95,53,1,high_school,yes,yes,yes,5,3,15,0
10231,Female,18,97,54,90,75,2,bachelor,yes,yes,no,54,1,0,1
10232,Male,14,74,97,62,58,13,high_school,yes,yes,yes,35,1,10,0
10233,Female,17,83,87,95,53,6,high_school,yes,no,no,23,2,17,1
10234,Male,18,90,72,68,94,11,high_school,yes,no,no,5,1,20,1
10235,Female,14,61,56,64,70,19,high_school,no,yes,yes,33,1,0,0
10236,Male,14,81,98,84,93,6,master,yes,no,no,30,3,2,1
10237,Female,15,51,95,58,52,8,high_school,yes,no,yes,52,2,5,0
10238,Female,17,78,75,74,61,5,master,no,yes,no,38,5,14,0
10239,Male,17,85,64,92,97,6,bachelor,yes,yes,no,50,2,11,1
10240,Female,16,92,94,70,72,11,high_school,yes,yes,no,59,5,14,1
10241,Male,14,85,60,100,64,4,master,yes,no,no,25,5,18,1
10242,Male,15,63,53,97,95,15,high_school,yes,yes,no,32,3,7,0
10243,Male,15,85,79,67,51,17,high_school,yes,no,no,17,4,10,0
10244,Female,17,59,88,62,80,7,bachelor,no,no,no,60,1,9,0
10245,Female,18,91,85,69,53,7,master,yes,yes,yes,58,1,11,1
10246,Female,18,91,96,62,71,9,bachelor,yes,no,no,30,1,14,1
10247,Male,15,73,91,57,73,16,high_school,yes,yes,no,53,2,4,0
10248,Male,17,99,73,68,85,7,bachelor,no,yes,no,14,1,17,1
10249,Female,16,85,59,82,99,5,bachelor,yes,no,no,51,1,2,1
10250,Female,17,83,82,70,66,16,master,yes,yes,no,41,3,6,1
10251,Male,16,59,58,63,62,2,master,yes,no,no,39,5,17,0
10252,Male,16,91,88,90,98,11,bachelor,yes,yes,no,43,4,13,1
10253,Female,16,53,75,87,91,7,bachelor,yes,yes,no,49,4,7,0
10254,Female,18,82,85,52,58,8,bachelor,yes,no,no,37,3,5,0
10255,Female,14,88,53,62,98,2,high_school,yes,no,yes,9,4,20,0
10256,Male,15,52,93,52,71,6,high_school,yes,yes,no,6,4,1,0
10257,Female,14,84,83,72,79,20,high_school,yes,yes,no,12,4,3,1
10258,Female,18,62,78,80,96,16,master,yes,no,no,46,1,15,0
10259,Male,17,66,65,61,57,20,bachelor,yes,yes,no,7,5,18,0
10260,Male,18,69,89,93,50,20,master,yes,no,yes,10,2,7,1
10261,Male,14,65,61,87,83,14,high_school,yes,no,no,40,1,17,0
10262,Male,18,51,90,70,51,9,bachelor,no,no,no,5,3,2,0
10263,Male,17,72,75,53,67,6,high_school,no,no,no,39,3,14,0
10264,Male,17,86,91,61,96,17,bachelor,yes,yes,no,46,2,12,1
10265,Female,16,79,73,91,79,14,bachelor,yes,no,yes,10,3,15,1
10266,Male,17,63,58,64,70,3,high_school,no,no,no,6,3,1,0
10267,Female,16,67,63,69,67,10,bachelor,yes,no,no,29,2,0,0
10268,Female,17,80,63,50,95,16,bachelor,yes,yes,yes,58,5,19,0
10269,Male,16,84,90,55,74,13,master,yes,no,no,57,2,7,0
10270,Male,18,83,53,74,64,4,bachelor,yes,yes,yes,49,4,11,0
10271,Male,17,62,80,63,69,18,high_school,no,yes,no,33,4,5,0
10272,Male,18,92,51,72,68,19,master,no,no,no,9,3,1,0
10273,Female,15,74,51,60,99,15,bachelor,yes,no,no,13,3,8,0
10274,Male,16,70,58,77,95,19,high_school,yes,no,no,11,4,0,0
10275,Male,17,53,88,89,66,5,high_school,yes,no,no,43,4,19,0
10276,Male,18,85,87,88,99,5,bachelor,yes,no,no,56,5,2,1
10277,Male,16,77,71,63,56,5,high_school,no,no,no,26,5,1,0
10278,Female,16,70,87,64,70,10,high_school,yes,yes,yes,27,2,6,0
10279,Female,18,50,62,70,75,18,bachelor,yes,yes,no,49,5,20,0
10280,Female,15,86,94,81,85,17,bachelor,yes,no,yes,39,1,10,1
10281,Male,18,75,53,83,97,18,high_school,yes,yes,no,44,3,8,0
10282,Male,18,78,87,91,70,10,bachelor,yes,no,yes,17,1,8,1
10283,Male,14,58,90,50,51,16,high_school,yes,no,no,33,1,9,0
10284,Female,15,89,70,77,60,2,bachelor,yes,yes,yes,12,3,7,0
10285,Male,14,64,66,72,73,13,bachelor,yes,yes,yes,23,5,11,0
10286,Female,14,72,86,57,62,8,master,yes,no,no,27,3,0,0
10287,Female,18,100,73,84,73,17,bachelor,no,yes,no,9,4,20,1
10288,Female,15,80,95,85,60,20,high_school,yes,no,no,19,3,6,1
10289,Female,16,77,100,92,54,5,master,yes,no,no,34,2,5,1
10290,Female,17,66,80,57,89,9,high_school,yes,yes,no,6,2,2,0
10291,Male,14,85,53,63,90,9,master,yes,yes,no,29,2,17,0
10292,Female,15,70,85,61,76,8,bachelor,no,yes,no,6,5,20,0
10293,Female,17,83,60,59,64,17,bachelor,yes,no,yes,44,2,8,0
10294,Male,14,89,63,74,99,20,bachelor,yes,no,no,34,4,20,1
10295,Female,17,81,100,95,98,3,high_school,yes,no,no,36,1,11,1
10296,Female,14,96,67,70,62,8,high_school,yes,no,no,50,4,10,1
10297,Female,16,74,71,77,78,13,bachelor,yes,no,no,22,2,20,0
10298,Male,17,76,99,80,64,19,high_school,yes,yes,no,27,4,12,1
10299,Male,16,86,82,52,68,7,master,yes,no,no,48,1,4,0
10300,Male,15,65,57,50,93,5,high_school,yes,no,no,7,1,3,0
10301,Male,16,81,91,83,92,10,bachelor,yes,no,no,25,3,1,1
10302,Male,14,97,62,58,85,10,bachelor,yes,yes,no,30,2,11,0
10303,Male,14,63,63,83,69,11,master,yes,yes,no,20,3,5,0
10304,Male,16,86,53,96,53,20,high_school,yes,no,no,14,3,4,1
10305,Female,18,89,88,70,59,6,bachelor,no,yes,yes,50,4,12,1
10306,Male,17,66,56,53,78,14,bachelor,no,no,yes,7,5,15,0
10307,Female,15,53,73,83,79,18,bachelor,yes,no,yes,23,4,18,0
10308,Female,14,95,68,71,73,13,master,yes,no,no,16,2,5,1
10309,Female,18,80,85,68,97,13,bachelor,yes,yes,yes,40,1,0,1
10310,Female,15,98,77,96,60,13,high_school,yes,yes,no,37,1,5,1
10311,Male,17,69,97,96,76,15,bachelor,yes,yes,no,10,4,10,1
10312,Female,14,75,65,54,59,18,bachelor,yes,no,yes,7,5,10,0
10313,Female,14,79,94,55,66,13,bachelor,yes,no,no,55,5,18,0
10314,Male,15,84,95,75,100,5,bachelor,yes,no,no,33,5,19,1
10315,Male,14,70,59,54,85,6,bachelor,yes,yes,no,30,4,6,0
10316,Male,15,84,50,73,85,6,high_school,no,no,no,45,4,11,0
10317,Female,17,80,69,73,74,4,high_school,no,yes,no,25,4,9,0
10318,Male,17,56,84,77,63,10,bachelor,yes,no,yes,20,2,12,0
10319,Female,17,58,94,85,92,20,master,yes,no,yes,22,2,10,1
10320,Male,14,70,53,99,82,7,master,yes,yes,yes,10,2,10,1
10321,Female,17,73,64,97,56,10,bachelor,yes,no,no,30,4,13,1
10322,Female,14,86,70,67,54,3,bachelor,no,no,yes,27,2,4,0
10323,Male,14,68,100,74,70,12,bachelor,yes,no,no,45,1,17,1
10324,Female,18,53,91,56,71,1,bachelor,yes,no,no,21,5,1,0
10325,Female,17,92,90,88,71,17,master,yes,yes,no,21,2,5,1
10326,Female,15,50,59,70,54,2,high_school,yes,no,yes,26,1,1,0
10327,Male,15,83,65,97,100,7,high_school,yes,no,yes,26,4,14,1
10328,Male,17,59,84,100,98,7,master,no,no,yes,25,4,3,1
10329,Male,17,71,64,89,70,15,bachelor,yes,no,no,26,4,13,0
10330,Male,16,90,89,77,75,17,high_school,yes,no,yes,6,1,2,1
10331,Female,17,82,91,84,55,7,high_school,yes,no,no,56,1,17,1
10332,Female,16,68,54,100,60,12,high_school,yes,yes,yes,14,4,8,0
10333,Female,17,86,70,57,58,15,bachelor,yes,yes,no,19,2,9,0
10334,Male,17,69,55,61,51,7,high_school,yes,yes,no,20,3,12,0
10335,Female,16,76,99,92,89,6,master,yes,no,yes,37,4,0,1
10336,Male,18,81,97,92,86,4,high_school,yes,yes,no,34,3,8,1
10337,Male,17,60,95,65,50,13,high_school,yes,no,yes,59,5,20,0
10338,Male,18,83,53,77,87,5,bachelor,no,no,yes,29,3,0,0
10339,Male,17,74,69,83,75,5,high_school,yes,yes,no,39,5,8,0
10340,Female,17,87,99,55,68,12,bachelor,yes,no,no,15,2,14,1
10341,Female,17,93,58,70,73,2,bachelor,yes,yes,yes,26,3,11,0
10342,Female,17,79,75,97,70,1,bachelor,yes,no,no,25,3,19,1
10343,Male,15,90,100,96,67,11,bachelor,yes,no,no,27,1,4,1
10344,Male,17,60,79,64,76,3,bachelor,yes,yes,no,37,4,15,0
10345,Female,15,51,84,89,77,15,high_school,yes,yes,no,43,1,19,0
10346,Male,17,50,57,72,52,4,high_school,yes,no,no,29,5,2,0
10347,Male,14,95,63,85,61,17,bachelor,yes,no,no,43,1,2,1
10348,Male,17,62,64,67,100,1,bachelor,yes,no,no,10,3,1,0
10349,Female,17,57,84,68,79,14,bachelor,yes,yes,no,24,1,7,0
10350,Female,15,87,72,71,97,19,bachelor,yes,no,no,50,3,2,1
10351,Female,15,68,58,77,69,13,bachelor,yes,yes,no,11,1,18,0
10352,Male,17,63,87,85,89,17,master,no,no,no,34,1,0,1
10353,Female,17,74,63,60,84,9,high_school,yes,no,no,18,1,3,0
10354,Female,16,53,77,57,51,9,high_school,yes,no,no,50,1,15,0
10355,Female,18,98,97,79,61,3,master,no,no,yes,15,2,20,1
10356,Female,18,54,97,69,86,3,master,yes,no,no,48,1,20,0
10357,Female,18,58,58,53,84,17,high_school,no,yes,no,38,1,7,0
10358,Female,18,72,96,89,61,12,high_school,yes,no,yes,50,1,18,1
10359,Male,15,78,71,89,70,19,bachelor,yes,no,no,42,4,18,1
10360,Male,17,56,77,77,53,12,bachelor,yes,no,no,49,3,11,0
10361,Male,15,73,83,76,90,1,bachelor,no,no,no,12,1,17,1
10362,Male,14,61,55,75,76,8,bachelor,yes,yes,yes,23,4,9,0
10363,Male,14,78,94,98,84,8,bachelor,yes,no,no,18,3,15,1
10364,Male,18,69,98,62,87,17,master,yes,no,yes,50,1,7,0
10365,Male,16,69,82,75,88,17,master,yes,no,no,46,3,8,1
10366,Female,14,73,86,98,90,17,master,yes,no,yes,28,5,18,1
10367,Female,16,88,90,88,62,11,high_school,no,no,no,50,3,10,1
10368,Male,18,95,94,50,89,12,master,yes,yes,yes,23,4,7,1
